Machine_ID,Temp_C,Vibration_mm_s,Pressure_Bar,Acoustic_dB,Inspection_Duration_min,Downtime_Cost_USD,Technician_Availability_pct,Failure_Prob,Maintenance_Priority
M006,67.9657288012627,2.7430469129358963,5.194411273801321,80.6351417306833,130,1769,92,0.4833587903741496,2
M006,79.36730227882772,2.914761584938263,5.273971006307095,65.9206634825212,51,3449,80,0.4982153639251246,2
M009,78.8600892050195,2.8354218165279215,5.125377667750665,67.93139984682828,86,2814,98,0.49012865351190193,2
M007,87.85092427762662,2.224741994769593,4.315887753811759,67.17739728471236,36,1603,99,0.48014565226242895,2
M004,71.97536244272365,3.5222642687730294,5.043944995481546,51.820494952823935,56,2479,88,0.4685724805070363,2
M008,82.32927168999495,3.567686938633271,4.899791680042387,73.46065979986163,74,3254,62,0.57609549015076,2
M001,81.0238368679519,2.3492397426009286,5.01536790266953,81.22182616316049,116,4671,70,0.530918826073538,1
M001,78.85610521173659,3.729128850318739,5.344209807521058,86.08344460105894,40,4958,87,0.5698264505733355,1
M003,85.48027426679519,2.2275121936738826,5.061790844876077,76.48671921489776,65,1134,66,0.5314231277738919,2
M004,64.59995575931785,1.582326864580529,5.666731022551147,69.45807744185676,59,3838,97,0.3984819672484594,3
M004,83.38055726780145,3.211025108771349,4.922264485891367,73.76743056929834,114,2476,67,0.5634730990462575,2
M006,71.23317502220833,3.2601733100308645,5.434120505549786,78.01212780743374,132,3556,87,0.5175056773777857,2
M010,73.61704530598428,3.7956112951118786,4.48198709023559,67.56335254128498,43,2115,90,0.5248705617139527,2
M007,65.68116555305927,2.6079274038276443,4.48968561249906,80.90439408501167,48,4594,50,0.5150281710342123,1
M006,73.4105342028983,1.7039202801407454,4.599180975637532,79.35123883622678,49,4808,81,0.47123687184850227,1
M005,76.59808223195411,1.6728118834245653,5.401059805782769,55.8995550996513,117,926,80,0.43135254672543,2
M001,78.33186660301669,2.1241540960162597,4.906612104337987,64.64769469855278,66,2031,55,0.4877367297764257,2
M006,77.00458543700076,3.6455223054311126,4.904359184085223,63.92898571331101,53,2213,83,0.5212073529371216,2
M002,80.78314767771286,1.5920713240692357,5.541356256773274,49.93421911164524,126,3899,99,0.41364008645322065,2
M001,81.24092669205605,2.5004555000218454,3.9326754386233493,53.49299430307177,115,4622,75,0.4636934001690732,1
M002,73.00541812382299,1.6628442024385472,4.508535629991653,71.17132247318779,133,1065,85,0.4414302523334946,2
M005,76.62675473406317,3.8951283887267514,4.095609136109836,73.75609556588742,107,2132,62,0.5629069254307988,2
M007,74.16146394141256,2.7886259420333275,5.036413461695108,77.08604360797187,128,2921,50,0.5372527924345835,2
M005,78.16032081843171,1.8227979196476025,4.87286807465393,72.84383246049583,147,716,90,0.47463479475139686,2
M001,75.35399826006187,3.059806746983704,4.324374551653259,59.90505330291813,121,4998,74,0.49834489566387136,1
M002,77.11713428875365,3.5191070692214725,4.127979631340722,71.7173088615917,100,2308,86,0.5266604437612832,2
M008,76.83744542282338,1.4657114700981424,5.102972500335377,59.82562759523582,110,4998,88,0.419436889462509,1
M007,100.3425089500696,2.546264217420413,5.572653586017707,55.912383993300146,36,2754,52,0.5658829605428808,2
M005,64.40081729610586,2.147806916618518,4.879527158711194,66.3150558338785,88,3533,99,0.4047890703807321,2
M001,78.74197713929861,2.419276463531061,5.355596636726037,75.0403664269187,54,764,53,0.5270091417515523,2
M006,69.66897885464412,2.0631730130325763,4.147104026469569,61.52282116368472,104,4507,75,0.4442600244243308,1
M006,69.70591262666508,3.475310613710658,4.9476181356419895,44.002755841180715,139,4169,83,0.4652849538616702,1
M007,59.344146512824224,3.281707193676531,5.034224750022282,62.312696573575124,67,4439,65,0.4697057498203995,1
M005,77.54404797761738,2.669230052514993,4.999456143500371,74.21634219154491,137,4107,86,0.4964750346642936,1
M010,77.5459750883609,0.7934257489629455,4.919060480568369,40.89662422523467,75,2888,51,0.40596243862579684,3
M008,78.6069192483287,1.607417800342969,4.918536216877821,79.98169217211891,54,4920,60,0.5045360089600998,1
M002,84.12009500686015,2.9645886445982823,5.266990802656376,76.43861675801374,149,1015,93,0.5319315276838216,2
M009,85.16383528369099,1.5775311759534962,6.015151838878308,65.36930615748358,71,4506,79,0.4676888068499336,1
M002,83.35485187826212,3.0573418837857775,5.302790693420731,75.58555329689833,149,871,92,0.5298605170494086,2
M005,73.22222366466374,2.783149474327959,4.776010877713702,63.76934046685365,120,3424,83,0.47954379363705724,2
M006,69.78656304241419,1.7062383175342577,5.062270207429589,77.48012892979904,46,897,59,0.4709412346849048,2
M003,78.54709571734426,1.2218460467840597,4.865486110199101,61.3676350685274,116,602,79,0.43412793560842344,2
M007,63.31935121096209,4.0268963762445,4.354914699106516,51.087708965204946,85,893,89,0.46250184239888875,2
M005,66.00192735979279,2.6084410721083473,5.630929965598948,74.0527693818794,66,1203,81,0.4669349864479966,2
M003,62.98966517664744,2.9406484283852024,4.536261934080834,67.72805607082856,39,3432,99,0.4539159773116571,2
M009,77.83494670337804,4.4082205094641616,4.730660356799438,65.78703805920583,129,3273,50,0.5908908256580137,2
M009,75.18053200373605,1.5289208647367516,5.127814983640187,84.58350566156881,48,690,97,0.46195462477811766,2
M007,93.57127497724835,2.843341910058857,5.182397471300295,63.48858879454882,100,4765,81,0.5441721435107745,1
M003,71.4812810479882,4.130232155623132,4.952003032163271,75.8038354790326,43,3039,51,0.5768376794309062,2
M003,69.53267526074855,5.032516732463315,5.803101483842322,80.52587307354376,118,4664,87,0.5898980802650167,1
