Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Target
75.15908713167562,4.45957577340148,751.9980050311672,754.367550586883,132.91524772198568,0.0,2463.262421126947,101.202482133991,1190.9653500970169,9474.497568568318,8985.724852199251,-996.045159846681,26.697205012074516,16040.431457435448,18948.0,-256.5974705919059,16281.746589601044,350.8868023503102,-0.18018737431940973,27445.808996104664,50.98684565829283,0
53.59037144729178,4.562308351960904,751.0004951167116,752.8201110872257,133.46078078666991,0.0,1553.1746219349639,100.19367787322389,1195.6212237145419,9427.18852716949,9093.049048874758,-554.2726872634402,23.31432890677404,16838.287209743325,18996.108990260247,80.08194781468933,16044.495250871345,343.16495086093846,0.2596032048245899,28142.090080526104,49.94582123698153,0
56.87805490351912,4.378285588368795,750.9746125881151,752.6887797635643,132.5571953362797,0.12375063552178386,1528.916199994179,99.33653414488697,1211.7477451358222,9436.144734561933,8975.82969346407,56.44067650182359,28.750963804123828,16869.997938837,19136.416194175155,-146.10655282301354,16618.539043846253,353.995874180635,-0.009487197085653936,27842.917662942695,48.91813032727833,0
24.619835380310846,4.934214636731022,752.3390466313058,753.17367768109,134.87191481853793,0.04984813036834496,781.2407806961053,100.90307276585295,1243.5397894905614,9450.584531347751,9079.718220318797,-3100.2385265606335,28.206712136853834,16623.792075035046,19335.02780264049,28.955641210955363,16037.5045952026,348.37659708173874,0.3233899408634496,28381.469135311014,49.391126542420864,0
36.19434391622487,4.278118501379504,752.1268615346028,753.4736438150255,132.44792076789113,0.06596051462144456,1342.4841592685377,101.35085265721037,1184.8743770090132,9438.518736700456,8989.029793550333,-1970.7517640944698,26.838171081574274,16674.5385367088,19446.839696813677,-113.5256715335409,16180.88143323733,347.4317264797967,0.04482948107977714,27643.296319304543,49.67825873125549,0
72.39278305060651,5.0,751.7702863107091,753.4203507249557,133.16773038817468,0.0,1249.0253600431358,100.68099628223109,1267.7698754323537,9444.112685610306,9021.178237372122,-574.9965436590325,23.025496313917827,16931.6906811402,19721.412529225596,334.2527530128168,16307.666675318362,356.0045734579016,-0.3767511755483272,28093.00868007491,51.0,0
30.75977007605434,4.245899489958424,751.7342225440316,752.8507296570989,130.8339675409566,0.018706128457540185,465.7697685323938,100.98580563212649,1179.1816729015172,9516.146877430792,8970.901619527254,-855.6999427166685,28.18488635246759,16239.446176067731,19528.586753517942,559.5832763712231,16132.743422589032,350.2774284731027,0.2846884216995548,28156.12605922659,48.81307259583582,0
20.910564657587223,4.789153620719371,751.8292034566057,753.41506822022,133.83312492656145,0.0,1444.7032289106196,100.85269194131439,1184.5522978209312,9529.205103483475,9029.16305588856,-1704.836514580936,27.776331000875384,16314.15738245177,19734.33622155783,494.7285740890267,16329.893698386177,353.93866200055663,0.34554827532572796,28169.152305180065,51.0,0
53.00489426779612,4.152329349281494,751.2581150346005,752.6169500287149,133.16353182496758,0.047671491025666944,1478.3061930044914,101.24654012137117,1203.6008576624217,9512.161261771696,8994.936705013464,2116.164496971596,27.695938180716237,16348.431243121302,19051.23945794484,199.5377270679341,16479.540188650477,352.76622989986345,0.3696125703189096,27879.444780693964,49.126886302764305,0
15.107365718348786,4.305695611065391,752.0984619220282,753.3878238205149,131.31602510868595,0.02982285320813329,1560.4487023629592,99.98483507721913,1207.2862393438588,9454.472343874259,8954.230026757541,-191.57584719071556,27.527056844962395,16914.259343505175,19832.3965397129,-612.5877228355973,16300.541012861717,351.83080082806407,0.38575250062657296,28069.761412546733,51.0,0
